author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/275952207/;Москва;sale;flat;24;28;2;57.1;21926400;Отрадное;Отрадная ;4А;Отрадное;Малевич
Мир Квартир Элит;real_estate_agent;https://www.cian.ru/sale/flat/292808866/;Москва;sale;flat;2;10;2;38.0;21990000;Пресненский;2-я Черногрязская ;7К2;Улица 1905 года;
Level Group;developer;https://www.cian.ru/sale/flat/298744584/;Москва;sale;flat;27;42;2;57.3;21958973;Очаково-Матвеевское;;к10;Аминьевская;Левел Мичуринский ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/297443291/;Москва;sale;flat;4;48;2;39.9;22000000;Ростокино; Вильгельма Пика;3;Ботанический сад;Режиссёр
Владис;real_estate_agent;https://www.cian.ru/sale/flat/299562232/;Москва;sale;flat;1;9;2;38.9;22000000;Красносельский;Протопоповский переулок;38;Проспект Мира;
MadeState;real_estate_agent;https://www.cian.ru/sale/flat/298660598/;Москва;sale;flat;18;24;2;53.0;22000000;Лефортово; 2-я Синичкина;5;Сортировочная;
Level Group;developer;https://www.cian.ru/sale/flat/300011661/;Москва;sale;flat;27;33;2;37.8;22159027;Хорошево-Мневники;Причальный проезд;10Б;Шелепиха;Level Причальный
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/297807589/;Москва;sale;flat;4;5;2;34.5;22500000;Хамовники; Плющиха;18;Смоленская;
TimeProperty;real_estate_agent;https://www.cian.ru/sale/flat/299944236/;Москва;sale;flat;4;19;2;45.15;22500000;Алексеевский;Новоалексеевская ;16к2;Алексеевская;Серебряный фонтан
ID 114417902;homeowner;https://www.cian.ru/sale/flat/299761539/;Москва;sale;flat;10;16;2;69.0;22500000;Текстильщики; 8-я Текстильщиков;13К2;Текстильщики;
ЛСР;developer;https://www.cian.ru/sale/flat/297474320/;Москва;sale;flat;23;30;2;61.2;22640572;Москворечье-Сабурово;;;Москворечье;Вэйв ЖК
ЛСР;developer;https://www.cian.ru/sale/flat/297474361/;Москва;sale;flat;18;30;2;56.9;22742076;Москворечье-Сабурово;;;Москворечье;Вэйв ЖК
Владис;real_estate_agent;https://www.cian.ru/sale/flat/299465617/;Москва;sale;flat;14;23;2;61.0;22800000;Ярославский; Красная Сосна;3;Ростокино;Настроение
ID 39404589;developer;https://www.cian.ru/sale/flat/299905953/;Москва;sale;flat;30;34;2;46.0;22995400;Обручевский;;3;Калужская;Эвер ЖК
АЯКС;real_estate_agent;https://www.cian.ru/sale/flat/298734242/;Москва;sale;flat;8;9;2;49.0;22900000;Хорошево-Мневники;Причальный проезд;8к1;Шелепиха;Новая Пресня
ЛСР;developer;https://www.cian.ru/sale/flat/297687930/;Москва;sale;flat;9;58;2;51.8;23237013;Коньково;40-й кв-л;к1;Калужская;Обручева 30 ЖК
Landis;real_estate_agent;https://www.cian.ru/sale/flat/299474668/;Москва;sale;flat;16;20;2;51.4;23200000;Можайский; Петра Алексеева;14;Рабочий посёлок;КутузовGRAD II
АЯКС;real_estate_agent;https://www.cian.ru/sale/flat/292945698/;Москва;sale;flat;18;24;2;46.2;23000000;Хорошево-Мневники;Шелепихинская набережная;40к2;;Sydney City
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/295093778/;Москва;sale;flat;3;19;2;84.0;23000000;;;;;
ID 72001944;realtor;https://www.cian.ru/sale/flat/299121498/;Москва;sale;flat;11;17;2;59.0;23000000;Кунцево;Рублевское шоссе;26К1;Молодёжная;
ЗАПАДНЫЙ САД;real_estate_agent;https://www.cian.ru/sale/flat/299371928/;Москва;sale;flat;5;8;2;46.0;23399000;Раменки;Винницкая ;8к1;Раменки;Настоящее
Level Group;developer;https://www.cian.ru/sale/flat/300087623/;Москва;sale;flat;3;21;2;54.0;23401435;Басманный;Большая Почтовая ;;Электрозаводская;Level Бауманская
Cristall Realty;real_estate_agent;https://www.cian.ru/sale/flat/294621992/;Москва;sale;flat;2;26;2;54.7;23400000;Нагатино-Садовники;1-й Нагатина кв-л;;Нагатинская;Левел Нагатинская ЖК
Владис;real_estate_agent;https://www.cian.ru/sale/flat/298617996/;Москва;sale;flat;3;8;2;50.0;23500000;Таганский;Воронцовская ;36С1;Крестьянская застава;
ALVO Group;real_estate_agent;https://www.cian.ru/sale/flat/298965836/;Москва;sale;flat;8;12;2;52.5;23600000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
FriendlyHome;real_estate_agent;https://www.cian.ru/sale/flat/295834406/;Москва;sale;flat;15;22;2;62.9;23600000;Покровское-Стрешнево;Летная ;;Спартак;ÁLIA
АЯКС;real_estate_agent;https://www.cian.ru/sale/flat/296829972/;Москва;sale;flat;6;47;2;61.2;23600000;Обручевский; Академика Волгина;2С3;Воронцовская;Архитектор
Минские холмы;developer;https://www.cian.ru/sale/flat/298044966/;Москва;sale;flat;23;56;2;48.7;23905647;Раменки;;;Минская;Вилл Тауэрс ЖК
Компания Пионер;developer;https://www.cian.ru/sale/flat/299328018/;Москва;sale;flat;-1;-1;-1;202.0;23767800;Марьина роща;Полковая ;1С12;Савёловская;PRIDE
