author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
MR Group;developer;https://www.cian.ru/sale/flat/299093457/;Москва;sale;flat;18;32;1;39.2;24889681;Даниловский;Дубининская ;59к8;Павелецкая;Павелецкая Сити
ДОНСТРОЙ;developer;https://www.cian.ru/sale/flat/298028612/;Москва;sale;flat;13;49;1;43.9;24676190;Раменки;Кинематографический кв-л;;Мичуринский проспект;Событие ЖК
TOUCH;developer;https://www.cian.ru/sale/flat/289484260/;Москва;sale;flat;9;13;1;40.02;24981000;Южнопортовый;;к3;Дубровка;Шампайн ЖК
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/279320249/;Москва;sale;flat;9;22;1;37.0;25000000;Красносельский;Большая Спасская ;35;Комсомольская;Dialog
На Петровке;real_estate_agent;https://www.cian.ru/sale/flat/299881392/;Москва;sale;flat;5;24;1;41.4;25000000;Хорошевский;Хорошевское шоссе;25Ак1;Полежаевская;Династия
ID 416302;realtor;https://www.cian.ru/sale/flat/299781244/;Москва;sale;flat;1;14;1;44.1;25200000;Раменки;;к10;;Вест Гарден ЖК
Эталон;developer;https://www.cian.ru/sale/flat/299226553/;Москва;sale;flat;20;28;1;48.4;25368062;Даниловский;1-я оч.;к5;Технопарк;Shagal
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/298380361/;Москва;sale;flat;17;19;1;38.9;25362800;Щукино; Ротмистрова;2;Октябрьское поле;Театральный квартал
TOUCH;developer;https://www.cian.ru/sale/flat/299397007/;Москва;sale;flat;3;8;1;45.55;25234700;Южнопортовый;;к2;Дубровка;Шампайн ЖК
Verges of estate;real_estate_agent;https://www.cian.ru/sale/flat/298202587/;Москва;sale;flat;7;28;1;56.3;25800000;Тропарево-Никулино;улица Мичуринский проспект Олимпийская деревня;1к1;Мичуринский проспект;Чемпион парк
Sminex;developer;https://www.cian.ru/sale/flat/293711794/;Москва;sale;flat;5;21;1;46.88;25930000;Марфино; Академика Королева;21;Телецентр;Дом Достижение
Sense Development;developer;https://www.cian.ru/sale/flat/299349339/;Москва;sale;flat;7;13;1;43.2;25801520;Даниловский;Подольское шоссе;3;Тульская;Logos
Брусника Обмен;real_estate_agent;https://www.cian.ru/sale/flat/297827625/;Москва;sale;flat;20;23;1;49.0;25700000;Можайский;Гжатская ;5к4;;LIFE-Кутузовский
ДОНСТРОЙ;developer;https://www.cian.ru/sale/flat/298028513/;Москва;sale;flat;31;49;1;47.2;26030800;Раменки;Кинематографический кв-л;;Мичуринский проспект;Событие ЖК
MR Group;developer;https://www.cian.ru/sale/flat/297630289/;Москва;sale;flat;22;41;1;44.99;26352717;Раменки;;;Деловой центр;Хайд ЖК
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/298516165/;Москва;sale;flat;2;12;1;55.93;26577936;;;В19 кв-л;Павшино;Сберсити ЖК
Verges of estate;real_estate_agent;https://www.cian.ru/sale/flat/300051850/;Москва;sale;flat;14;34;1;52.0;26500000;Обручевский;Ленинский проспект;111к1;Новаторская;Well House на Ленинском
Sminex;developer;https://www.cian.ru/sale/flat/299262121/;Москва;sale;flat;9;14;1;44.6;26990000;Раменки;проспект Генерала Дорохова;39к2Л;Ломоносовский проспект;Собрание клубных домов West Garden
Брусника Обмен;real_estate_agent;https://www.cian.ru/sale/flat/296938186/;Москва;sale;flat;4;12;1;42.0;26790000;Беговой;Северный ао;;;Царская площадь
5 ДОНСКОЙ;developer;https://www.cian.ru/sale/flat/299380537/;Москва;sale;flat;47;75;1;47.61;27089566;Донской;5-й Донской проезд;вл21к6;Площадь Гагарина;The Five
Bespoke Estate;real_estate_agent;https://www.cian.ru/sale/flat/293405611/;Москва;sale;flat;5;20;1;41.1;27000000;Замоскворечье;Летниковская ;2;Павелецкая;Voxhall
ID 99674200;realtor;https://www.cian.ru/sale/flat/298598784/;Москва;sale;flat;19;41;1;54.9;27000000;Раменки;1-й Сетуньский проезд;вл6;Ломоносовский проспект;Hide
MR Group;developer;https://www.cian.ru/sale/flat/299901667/;Москва;sale;flat;11;57;1;49.27;27261998;Филевский парк;;;Фили;Фили Сити ЖК
КОРТРОС;developer;https://www.cian.ru/sale/flat/289877828/;Москва;sale;flat;14;14;1;44.18;27789220;Пресненский;;;Шелепиха;Хедлайнер ЖК
